page_url,page_h1,section_heading,target_filename,suggested_subject
/150000-business-loan.html,"How to get a $150,000 business loan.","What lenders actually check at $150,000",assets/aside/150000-business-loan-1.webp,owner in their own premises reviewing figures - scale matched to the loan size
/150000-business-loan.html,"How to get a $150,000 business loan.","Secured vs. unsecured, and SBA vs. online at $150,000",assets/aside/150000-business-loan-2.webp,owner in their own premises reviewing figures - scale matched to the loan size
/2-million-business-loan.html,How to get a $2 million business loan.,"The $2 million underwriting process, and how to speed it",assets/aside/2-million-business-loan-1.webp,owner in their own premises reviewing figures - scale matched to the loan size
/2-million-business-loan.html,How to get a $2 million business loan.,"Down payment, collateral, and choosing the structure",assets/aside/2-million-business-loan-2.webp,owner in their own premises reviewing figures - scale matched to the loan size
/25000-business-loan.html,"How to get a $25,000 business loan.","Can you get $25,000 with bad credit or no collateral?",assets/aside/25000-business-loan-1.webp,owner in their own premises reviewing figures - scale matched to the loan size
/25000-business-loan.html,"How to get a $25,000 business loan.","Get approved fast — and use $25,000 well",assets/aside/25000-business-loan-2.webp,owner in their own premises reviewing figures - scale matched to the loan size
/5-million-business-loan.html,How to get a $5 million business loan.,"What slows a $5 million close, and how to stay ahead of it",assets/aside/5-million-business-loan-1.webp,owner in their own premises reviewing figures - scale matched to the loan size
/5-million-business-loan.html,How to get a $5 million business loan.,$5 million business loan FAQs,assets/aside/5-million-business-loan-2.webp,owner in their own premises reviewing figures - scale matched to the loan size
/articles/business-loan-to-pay-irs-back-taxes/,Business loan to pay the IRS or back taxes,What to do now,assets/aside/articles-business-loan-to-pay-irs-back-taxes-1.webp,editorial image supporting: What to do now
/articles/business-loan-to-pay-irs-back-taxes/,Business loan to pay the IRS or back taxes,Payroll taxes and state debt: a special warning,assets/aside/articles-business-loan-to-pay-irs-back-taxes-2.webp,editorial image supporting: Payroll taxes and state debt: a special warning
/articles/business-loans-after-bankruptcy/,Business loans after bankruptcy: when and how you can qualify,"What opens up, and roughly when",assets/aside/articles-business-loans-after-bankruptcy-1.webp,"editorial image supporting: What opens up, and roughly when"
/articles/business-loans-after-bankruptcy/,Business loans after bankruptcy: when and how you can qualify,A realistic rebuild timeline,assets/aside/articles-business-loans-after-bankruptcy-2.webp,editorial image supporting: A realistic rebuild timeline
/articles/business-loans-behind-on-payments/,Behind on business loan payments? Your options before default,Your real options,assets/aside/articles-business-loans-behind-on-payments-1.webp,editorial image supporting: Your real options
/articles/business-loans-behind-on-payments/,Behind on business loan payments? Your options before default,How to actually talk to your lender,assets/aside/articles-business-loans-behind-on-payments-2.webp,editorial image supporting: How to actually talk to your lender
/articles/factor-rate-vs-apr-business-loan-cost/,Factor rate vs. APR: what a business loan actually costs,What is APR — and why it's different,assets/aside/articles-factor-rate-vs-apr-business-loan-cost-1.webp,editorial image supporting: What is APR — and why it's different
/articles/first-time-business-borrower-guide/,The first-time business borrower's guide to getting funded,"The path, in six steps",assets/aside/articles-first-time-business-borrower-guide-1.webp,"editorial image supporting: The path, in six steps"
/articles/first-time-business-borrower-guide/,The first-time business borrower's guide to getting funded,"Key terms, in plain English",assets/aside/articles-first-time-business-borrower-guide-2.webp,"editorial image supporting: Key terms, in plain English"
/articles/how-much-should-you-borrow-business-loan/,How much should you borrow for your business?,"Start with the use, not the number",assets/aside/articles-how-much-should-you-borrow-business-loan-1.webp,"editorial image supporting: Start with the use, not the number"
/articles/how-much-should-you-borrow-business-loan/,How much should you borrow for your business?,How lenders turn your numbers into a loan amount,assets/aside/articles-how-much-should-you-borrow-business-loan-2.webp,editorial image supporting: How lenders turn your numbers into a loan amount
/articles/improve-business-loan-approval-odds/,How to improve your business loan approval odds,The 7 levers lenders actually weigh,assets/aside/articles-improve-business-loan-approval-odds-1.webp,editorial image supporting: The 7 levers lenders actually weigh
/articles/improve-business-loan-approval-odds/,How to improve your business loan approval odds,Quick wins in the next 30 days,assets/aside/articles-improve-business-loan-approval-odds-2.webp,editorial image supporting: Quick wins in the next 30 days
/articles/self-employed-business-loans/,Business loans for the self-employed & 1099 workers,How much can a self-employed borrower get?,assets/aside/articles-self-employed-business-loans-1.webp,editorial image supporting: How much can a self-employed borrower get?
/articles/separate-business-personal-finances/,Separate your business & personal finances to qualify,Why this is the lever that quietly decides applications,assets/aside/articles-separate-business-personal-finances-1.webp,editorial image supporting: Why this is the lever that quietly decides applications
/articles/separate-business-personal-finances/,Separate your business & personal finances to qualify,The 6 steps to clean separation,assets/aside/articles-separate-business-personal-finances-2.webp,editorial image supporting: The 6 steps to clean separation
/articles/which-business-loan-is-right-for-you/,Which business loan is right for you?,Match by what you need,assets/aside/articles-which-business-loan-is-right-for-you-1.webp,editorial image supporting: Match by what you need
/articles/which-business-loan-is-right-for-you/,Which business loan is right for you?,Three mistakes that send people to the wrong loan,assets/aside/articles-which-business-loan-is-right-for-you-2.webp,editorial image supporting: Three mistakes that send people to the wrong loan
/best-small-business-loans.html,Best Small Business Loans of 2026,"The Best Small Business Loans, Reviewed",assets/aside/best-small-business-loans-1.webp,independent shop owner opening up for the day
/business-acquisition-financing.html,Business Acquisition Financing,What Is Business Acquisition Financing?,assets/aside/business-acquisition-financing-1.webp,"two owners shaking hands across a desk, folder open"
/business-acquisition-financing.html,Business Acquisition Financing,The Four Ways to Finance a Business Acquisition,assets/aside/business-acquisition-financing-2.webp,"two owners shaking hands across a desk, folder open"
/business-debt-consolidation.html,Consolidate Stacked MCAs & High-Cost Business Debt Into One Payment,What Is Business Debt Consolidation?,assets/aside/business-debt-consolidation-1.webp,"owner at a kitchen table with statements, calm not distressed"
/business-debt-consolidation.html,Consolidate Stacked MCAs & High-Cost Business Debt Into One Payment,What to Know Before You Consolidate,assets/aside/business-debt-consolidation-2.webp,"owner at a kitchen table with statements, calm not distressed"
/business-debt-relief.html,Business Debt Relief: Get Out From Under Stacked Payments,What Is Business Debt Relief?,assets/aside/business-debt-relief-1.webp,"owner at a kitchen table with statements, calm not distressed"
/business-debt-relief.html,Business Debt Relief: Get Out From Under Stacked Payments,What to Know Before You Choose Debt Relief,assets/aside/business-debt-relief-2.webp,"owner at a kitchen table with statements, calm not distressed"
/business-growth-financing/borrow-to-grow-not-to-survive-the-right-way-to-use-business-capital/,"Borrow to Grow, Not to Survive: The Right Way to Use Business Capital",Quick Action Checklist,assets/aside/business-growth-financing-borrow-to-grow-not-to-survive-the-right-way-to-use-business-capital-1.webp,small team reviewing numbers together in a back office
/business-growth-financing/growth-capital-for-e-commerce-scale-ads-and-inventory-together/,Growth Capital for E-commerce: Scale Ads and Inventory Together,Executive Wrap-Up,assets/aside/business-growth-financing-growth-capital-for-e-commerce-scale-ads-and-inventory-together-1.webp,small team reviewing numbers together in a back office
/business-growth-financing/how-to-finance-inventory-for-peak-season-without-stockouts/,How to Finance Inventory for Peak Season Without Stockouts,Final Governance Checklist,assets/aside/business-growth-financing-how-to-finance-inventory-for-peak-season-without-stockouts-1.webp,small team reviewing numbers together in a back office
